OTUID,sort,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1885,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnobacter,s__norank
OTU1888,ml,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank,g__norank,s__norank
OTU189,ylxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Vagococcaceae,g__Vagococcus,s__Vagococcus_fluvialis
OTU1892,hl,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Candidatus_Udaeobacter,s__norank
OTU1895,ylxl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__norank
OTU1896,ylmlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__norank
OTU19,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,s__norank
OTU190,ctylxlhl,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales-Selenomonadales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera_hexanoica
OTU1903,ct,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank,g__norank,s__norank
OTU1904,ylmlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Breznakia,s__Breznakia_pachnodae
OTU1909,ctylmlxlhl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__PeM15,f__norank,g__norank,s__norank
OTU191,ctylmlxlhl,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__LD29,s__norank
OTU1911,xl,k__Bacteria,p__SAR324_clade(Marine_group_B),c__norank,o__norank,f__norank,g__norank,s__norank
OTU192,xl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Inhella,s__norank
OTU1925,ml,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp_BP1-145
OTU193,ylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae,g__OM60(NOR5)_clade,s__norank
OTU1933,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Paenalcaligenes,s__Paenalcaligenes_hominis
OTU1938,hl,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__norank,s__norank
OTU1939,xl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Thioclava,s__norank
OTU194,ctylmlxl,k__Bacteria,p__unidentified_Bacteria,c__Gammaproteobacteria,o__norank,f__norank,g__norank,s__norank
OTU1942,hl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank,g__norank,s__norank
OTU1945,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__norank
OTU1948,ctml,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unidentified_Rhizobiales,g__Phreatobacter,s__norank
OTU195,ctxlhl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__norank,s__norank
OTU196,ylxlhl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__Longivirga,s__norank
OTU1960,ml,k__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__norank
OTU1961,hl,k__Bacteria,p__Planctomycetota,c__BD7-11,o__norank,f__norank,g__norank,s__norank
OTU1964,hl,k__Bacteria,p__MBNT15,c__norank,o__norank,f__norank,g__norank,s__norank
OTU197,ctmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank,g__norank,s__norank
OTU1971,ylxlhl,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__norank
OTU198,ctylxl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Limnotrichales,f__Limnotrichaceae,g__Limnothrix,s__norank
OTU1984,yl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank,g__norank,s__norank
OTU1988,hl,k__Bacteria,p__unidentified_Bacteria,c__Oligoflexia,o__Oligoflexales,f__norank,g__norank,s__norank
OTU199,ctml,k__Bacteria,p__Elusimicrobia,c__unidentified_Elusimicrobia,o__MVP-88,f__norank,g__norank,s__norank
OTU1991,ml,k__Bacteria,p__Planctomycetes,c__unidentified_Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Isosphaera,s__norank
OTU1997,ylhl,k__Bacteria,p__unidentified_Bacteria,c__Acidimicrobiia,o__Microtrichales,f__norank,g__norank,s__norank
OTU1999,ml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__norank,s__norank
OTU2,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__norank
OTU20,ylmlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__norank
OTU200,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,s__norank
OTU2005,hl,k__Bacteria,p__unidentified_Bacteria,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank,s__norank
OTU201,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rubellimicrobium,s__norank
OTU2010,ml,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank,g__norank,s__norank
OTU2013,mlxl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU2014,xl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Competibacterales,f__Competibacteraceae,g__Candidatus_Competibacter,s__norank
OTU2015,ctyl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__norank
OTU2016,xl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU2018,ml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU202,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Dechloromonas,s__norank
OTU2028,ml,k__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__norank
OTU2029,xl,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatales,f__Gemmataceae,g__norank,s__norank
OTU203,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Anaerotruncus,s__norank
OTU2031,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__ASF356,s__norank
OTU2032,hl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__[Eubacterium]_brachy_group,s__norank
OTU2034,yl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_paurosaccharolyticus
OTU204,mlhl,k__Bacteria,p__unidentified_Bacteria,c__Acidobacteriae,o__Acidobacteriales,f__norank,g__norank,s__norank
OTU2040,yl,k__Bacteria,p__Elusimicrobia,c__unidentified_Elusimicrobia,o__Lineage_IV,f__norank,g__norank,s__norank
OTU2042,ml,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__norank,s__norank
OTU2044,ml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__JG36-TzT-191,f__norank,g__norank,s__norank
OTU2046,ctylmlxlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2049,hl,k__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__norank
OTU205,ctylmlhl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__PeM15,f__norank,g__norank,s__norank
OTU2051,ct,k__norank,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2053,hl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Pseudonocardia,s__norank
OTU2054,yl,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_2,f__norank,g__norank,s__norank
OTU2056,ctmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__norank,s__norank
OTU2059,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Denitratisoma,s__norank
OTU206,ctmlxlhl,k__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__OPB41,f__norank,g__norank,s__norank
OTU2060,ylhl,k__Bacteria,p__Firmicutes,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2064,mlhl,k__Bacteria,p__unidentified_Bacteria,c__Vicinamibacteria,o__Vicinamibacterales,f__norank,g__norank,s__norank
OTU2065,yl,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank,s__norank
OTU2066,ml,k__Bacteria,p__Entotheonellaeota,c__Entotheonellia,o__Entotheonellales,f__Entotheonellaceae,g__norank,s__norank
OTU207,ctmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__norank
OTU2075,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2076,ylhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU208,ctxlhl,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Subgroup_17,f__norank,g__norank,s__norank
OTU2083,ct,k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__norank,g__norank,s__norank
OTU2087,yl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2088,hl,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__norank
OTU209,ctyl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,s__norank
OTU2091,yl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2096,mlhl,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__norank
OTU21,ctylxl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_fragilis
OTU210,ctylhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloparacoccus,s__norank
OTU2105,ml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU211,ctmlxlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU212,mlhl,k__Bacteria,p__Actinobacteriota,c__MB-A2-108,o__norank,f__norank,g__norank,s__norank
OTU2121,ct,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__norank,g__norank,s__norank
OTU213,mlhl,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella,s__norank
OTU2130,yl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU2131,yl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank,g__norank,s__norank
OTU2136,yl,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__DS-100,f__norank,g__norank,s__norank
OTU214,mlhl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU2148,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU215,ctylmlxlhl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__norank
OTU2150,ml,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU2152,hl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__norank,s__norank
OTU216,ctyl,k__Bacteria,p__unidentified_Bacteria,c__Syntrophobacteria,o__Syntrophobacterales,f__unidentified_Syntrophobacterales,g__unidentified_Syntrophobacterales,s__Deltaproteobacteria_bacterium_RBG_13_43_22
OTU2163,ct,k__Bacteria,p__Myxococcota,c__Polyangia,o__mle1-27,f__norank,g__norank,s__norank
OTU2167,mlhl,k__Bacteria,p__unidentified_Bacteria,c__Thermoleophilia,o__Gaiellales,f__norank,g__norank,s__norank
OTU217,ctylml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__norank,g__norank,s__norank
OTU218,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank,s__norank
OTU2187,hl,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Stenotrophobacter,s__norank
OTU2188,hl,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__norank
OTU2189,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU219,ylmlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__norank,f__norank,g__norank,s__norank
OTU2198,hl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__norank,s__norank
OTU2199,xlhl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__norank,f__norank,g__norank,s__norank
OTU22,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Breznakia,s__norank
OTU220,mlxl,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Planctomycetales,f__norank,g__norank,s__norank
OTU2202,ml,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_13,f__norank,g__norank,s__norank
OTU2205,hl,k__Bacteria,p__Planctomycetes,c__unidentified_Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pir4_lineage,s__norank
OTU2207,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,s__norank
OTU221,ctylml,k__Bacteria,p__Chloroflexi,c__KD4-96,o__norank,f__norank,g__norank,s__norank
OTU2215,ct,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__norank
OTU222,ctylmlxlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU223,ylmlxl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU2239,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU224,ctylml,k__Bacteria,p__unidentified_Bacteria,c__Babeliae,o__Babeliales,f__UBA12409,g__norank,s__norank
OTU2247,yl,k__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__norank,s__norank
OTU225,ylxl,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__bacterium_enrichment_culture_clone_E8
OTU2251,ml,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__norank
OTU2252,ct,k__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__norank,s__norank
OTU2255,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2256,hl,k__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__norank,g__norank,s__norank
OTU2257,ml,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__norank
OTU2258,yl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_paurosaccharolyticus
OTU226,ylmlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chitinibacteraceae,g__Chitinibacter,s__Chitinibacter_fontanus
OTU2260,ctylmlxl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__unidentified_Mitochondria,s__norank
OTU2268,hl,k__Bacteria,p__Gemmatimonadetes,c__unidentified_Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__norank
OTU2269,hl,k__Bacteria,p__Actinobacteriota,c__norank,o__norank,f__norank,g__norank,s__norank
OTU227,ylxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__EV818SWSAP88,f__norank,g__norank,s__norank
OTU2270,hl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__norank,s__norank
OTU2273,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_vadinBB60_group,f__norank,g__norank,s__norank
OTU2278,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__norank,f__norank,g__norank,s__norank
OTU228,ctmlxl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU2282,ct,k__Bacteria,p__Nitrospirota,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__unidentified_Nitrospiraceae,s__Nitrospira_sp
OTU2286,ml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__norank,s__norank
OTU2289,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerostignum,s__norank
OTU229,ctyl,k__Bacteria,p__unidentified_Bacteria,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank,s__norank
OTU2290,yl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Quadrisphaera,s__Quadrisphaera_granulorum
OTU2298,yl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2299,ct,k__Bacteria,p__Actinobacteriota,c__WCHB1-81,o__norank,f__norank,g__norank,s__norank
OTU23,ctylmlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__norank
OTU230,ylmlhl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__norank
OTU2302,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unidentified_Rhizobiales,g__Phreatobacter,s__norank
OTU2304,xl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2305,mlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__norank
OTU2306,ctml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__norank
OTU2308,ct,k__Bacteria,p__Firmicutes,c__norank,o__norank,f__norank,g__norank,s__norank
OTU231,ctylxl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU2310,hl,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Occallatibacter,s__norank
OTU232,mlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__norank
OTU233,ctxl,k__Bacteria,p__Chloroflexi,c__KD4-96,o__norank,f__norank,g__norank,s__norank
OTU234,ctmlhl,k__Bacteria,p__Desulfobacterota,c__Syntrophorhabdia,o__Syntrophorhabdales,f__Syntrophorhabdaceae,g__Syntrophorhabdus,s__norank
OTU235,ctxl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidales_RF16_group,g__norank,s__norank
OTU236,mlxlhl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Kineococcus,s__norank
OTU237,ylxl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium_ramosum
OTU238,ctml,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_niacini
OTU239,ct,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,s__Neorhizobium_sp_NCHU2750
OTU24,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__norank,s__norank
OTU240,ctylhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU241,mlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank,s__norank
OTU242,ctxl,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__norank
OTU243,ctml,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU244,ctylxl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Holosporales,f__Holosporaceae,g__norank,s__norank
OTU245,ctylmlxlhl,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__DEV007,g__norank,s__norank
OTU246,ctyl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Negativibacillus,s__norank
OTU247,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Hydrogenophilaceae,g__Hydrogenophilus,s__Hydrogenophilus_thermoluteolus
OTU248,ctylxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae,g__OM60(NOR5)_clade,s__norank
OTU249,ylxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,s__Aggregatibacter_segnis
OTU25,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_12,s__Clostridium_ljungdahlii
OTU250,ylmlxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_murinus
OTU251,xlhl,k__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio_cuneatus
OTU252,ctylmlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__norank,g__norank,s__norank
OTU253,ctmlhl,k__Bacteria,p__unidentified_Bacteria,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__norank,s__norank
OTU254,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__norank,s__norank
OTU255,ctylmlxlhl,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank,g__norank,s__norank
OTU256,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__Lachnospiraceae_bacterium_28-4
OTU257,xlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Terrisporobacter,s__norank
OTU258,hl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__Paracaedibacteraceae,g__Candidatus_Paracaedibacter,s__norank
OTU259,ctyl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__norank,g__norank,s__norank
OTU26,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__norank
OTU260,ctylxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__norank
OTU261,ylxlhl,k__Bacteria,p__unidentified_Bacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__norank,s__norank
OTU262,ctml,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank,g__norank,s__norank
OTU263,ctyl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__norank,g__norank,s__norank
OTU264,xl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__norank
OTU265,hl,k__Bacteria,p__unidentified_Bacteria,c__Thermoleophilia,o__Gaiellales,f__norank,g__norank,s__norank
OTU266,ctmlxlhl,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank,g__norank,s__norank
OTU267,ctylml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_sp_THG-FG1.2
OTU268,ctylmlxlhl,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,s__norank
